sortBy,ref,title,author,lastRunTime,totalVotes,url
dateRun,teisnestech/notebook128c76283c,notebook128c76283c,Teisnes Tech,2026-07-06T23:53:10.020Z,1,https://www.kaggle.com/code/teisnestech/notebook128c76283c
dateRun,boristown/agi-arc-agi2-lb33-minimal-perfpatch,【暗黑AGI】arc_agi2_LB33_minimal_perfpatch,暗黑AGI,2026-07-06T09:17:51.880Z,3,https://www.kaggle.com/code/boristown/agi-arc-agi2-lb33-minimal-perfpatch
dateRun,teisnestech/notebookde474c096d,notebookde474c096d,Teisnes Tech,2026-07-05T21:14:51.120Z,1,https://www.kaggle.com/code/teisnestech/notebookde474c096d
dateRun,andreshzapke/starter-notebook-qwen-lora-stop-loss,Starter Notebook: Qwen+LoRa. Stop Loss,Andres H. Zapke,2026-07-05T08:32:57.297Z,16,https://www.kaggle.com/code/andreshzapke/starter-notebook-qwen-lora-stop-loss
dateRun,taopy2/ag2-007-nvarc-qwen3-4b,ag2-007-nvarc-qwen3-4b,taopy2,2026-07-04T04:39:41.203Z,4,https://www.kaggle.com/code/taopy2/ag2-007-nvarc-qwen3-4b
dateRun,chiennguyendev/arc-agi-2-rule-first-inference-submission-notebo,ARC-AGI-2 Rule-First Inference + Submission Notebo,Chien Nguyen Dev,2026-07-03T09:53:20.763Z,,https://www.kaggle.com/code/chiennguyendev/arc-agi-2-rule-first-inference-submission-notebo
dateRun,editorjugnuai/arc-agi-2-zero-baseline-paper-track-the-zero-pe,ARC-AGI-2 Zero Baseline - Paper Track: The Zero Pe,Editor Jugnu AI,2026-07-03T03:12:26.943Z,,https://www.kaggle.com/code/editorjugnuai/arc-agi-2-zero-baseline-paper-track-the-zero-pe
dateRun,afp2025/helixarc-arc2-submission,helixarc-arc2-submission,Brian Alvarez,2026-07-02T13:50:25.590Z,,https://www.kaggle.com/code/afp2025/helixarc-arc2-submission
dateRun,ravi123a321at/arc-agi-2,Arc Agi 2,Ravindra,2026-07-02T06:04:27.653Z,7,https://www.kaggle.com/code/ravi123a321at/arc-agi-2
dateRun,aurascoper/arc2-clean-submission,ARC2 Clean Submission,aurascoper,2026-07-01T04:28:03.723Z,1,https://www.kaggle.com/code/aurascoper/arc2-clean-submission
dateRun,farmountain/harness-test-arc-agi-2-sub01,Harness Test Arc Agi 2 Sub01,Liew Keong Han,2026-07-01T00:23:32.180Z,,https://www.kaggle.com/code/farmountain/harness-test-arc-agi-2-sub01
dateRun,thtennant/arc-agi2-3389-ttt,arc-agi2-3389-ttt,Teddy Tennant,2026-06-30T23:17:48.363Z,3,https://www.kaggle.com/code/thtennant/arc-agi2-3389-ttt
dateRun,suncrest/arc-agi-gpu-enabled,ARC AGI GPU Enabled,Suncrest,2026-06-30T15:17:49.120Z,1,https://www.kaggle.com/code/suncrest/arc-agi-gpu-enabled
dateRun,suncrest/arc-agi-single-gpu-v2,ARC AGI Single GPU V2,Suncrest,2026-06-30T15:13:35.777Z,,https://www.kaggle.com/code/suncrest/arc-agi-single-gpu-v2
dateRun,suncrest/arc-agi-single-gpu-test,ARC-AGI Single GPU Test,Suncrest,2026-06-30T15:11:36.450Z,,https://www.kaggle.com/code/suncrest/arc-agi-single-gpu-test
dateRun,stellaris003/arc-agi-2-2026,arc-agi-2-2026,stellaris003,2026-06-30T13:17:02.407Z,,https://www.kaggle.com/code/stellaris003/arc-agi-2-2026
dateRun,busyaprime/arc-agi-2-program-synthesis-starter,ARC-AGI-2 Program Synthesis Starter,Busya PRIME,2026-06-30T11:30:13.610Z,1,https://www.kaggle.com/code/busyaprime/arc-agi-2-program-synthesis-starter
dateRun,busyaprime/arc-agi-2-a-visual-deep-dive,ARC-AGI-2: A Visual Deep-Dive,Busya PRIME,2026-06-30T10:13:40.533Z,8,https://www.kaggle.com/code/busyaprime/arc-agi-2-a-visual-deep-dive
dateRun,noob786/text-to-flower-attngan,Text-to-flower-AttnGAN,Noob786,2026-06-30T02:44:13.590Z,4,https://www.kaggle.com/code/noob786/text-to-flower-attngan
dateRun,boristown/agi-arc-route-3-direct-large-model-no-lora,【暗黑AGI】ARC Route 3 Direct Large-Model No-LoRA,暗黑AGI,2026-06-29T12:23:25.820Z,9,https://www.kaggle.com/code/boristown/agi-arc-route-3-direct-large-model-no-lora
dateRun,romantamrazov/arc-agi2-8b-v2-qlora-rs128,ARC AGI2 8B v2 QLoRA rs128,Roman Tamrazov,2026-06-29T07:35:15.503Z,1,https://www.kaggle.com/code/romantamrazov/arc-agi2-8b-v2-qlora-rs128
dateRun,waquarahmed1/nvarc-agi,NVARC AGI ,WAQUAR AHMED,2026-06-29T05:39:23.767Z,2,https://www.kaggle.com/code/waquarahmed1/nvarc-agi
dateRun,boristown/agi-arc-route-2-qwen3-5-4b-lora-compat,【暗黑AGI】ARC Route 2 Qwen3.5-4B LoRA Compat,暗黑AGI,2026-06-26T18:16:50.513Z,17,https://www.kaggle.com/code/boristown/agi-arc-route-2-qwen3-5-4b-lora-compat
dateRun,boristown/agi-arc-route-1-baseline-decoder-portfolio,【暗黑AGI】ARC Route 1 Baseline Decoder Portfolio,暗黑AGI,2026-06-26T18:15:49.677Z,5,https://www.kaggle.com/code/boristown/agi-arc-route-1-baseline-decoder-portfolio
dateRun,abdulrahmangamil/submission-json,submission.json,ABDULRAHMAN GAMIL ABDULLAH AHMED,2026-06-26T17:32:19.293Z,,https://www.kaggle.com/code/abdulrahmangamil/submission-json
dateRun,stellaris003/arc-prize-2026-arc-agi-2,ARC Prize 2026 - ARC-AGI-2,stellaris003,2026-06-26T11:29:47.457Z,,https://www.kaggle.com/code/stellaris003/arc-prize-2026-arc-agi-2
dateRun,boristown/agi-arc-agi-2-2026,【暗黑AGI】ARC-AGI-2-2026,暗黑AGI,2026-06-26T01:00:30.953Z,9,https://www.kaggle.com/code/boristown/agi-arc-agi-2-2026
dateRun,manderson240/arc-agi-2-baseline-20260625-1536,arc-agi-2-baseline-20260625-1536,Mike Anderson,2026-06-25T15:36:49.080Z,1,https://www.kaggle.com/code/manderson240/arc-agi-2-baseline-20260625-1536
dateRun,manderson240/arc-agi-2-baseline-20260625-1532,arc-agi-2-baseline-20260625-1532,Mike Anderson,2026-06-25T15:32:39.053Z,,https://www.kaggle.com/code/manderson240/arc-agi-2-baseline-20260625-1532
dateRun,manderson240/arc-agi-2-baseline-20260624-1455,ARC-AGI-2 Baseline 20260624-1455,Mike Anderson,2026-06-24T14:55:44.113Z,2,https://www.kaggle.com/code/manderson240/arc-agi-2-baseline-20260624-1455
dateRun,quanganh27th/failed-in-aimo,Failed in AIMO,Quang Anh Đặng,2026-06-24T07:13:35.910Z,1,https://www.kaggle.com/code/quanganh27th/failed-in-aimo
dateRun,clawdyhuang/hermesarc-v12,hermesarc-v12,Clawdy Huang (Andy's AI),2026-06-24T05:23:35.280Z,,https://www.kaggle.com/code/clawdyhuang/hermesarc-v12
dateRun,anasriaz/arc-2026,ARC 2026,Anas Riaz,2026-06-22T19:50:02.977Z,2,https://www.kaggle.com/code/anasriaz/arc-2026
dateRun,kokinnwakashuu/arc-agi-2-transparent-symbolic-search-guide,ARC-AGI-2 Transparent Symbolic Search Guide,kokinnwakashuu,2026-06-22T13:51:52.403Z,6,https://www.kaggle.com/code/kokinnwakashuu/arc-agi-2-transparent-symbolic-search-guide
dateRun,lucifer19/arc-hydra-solver,ARC Hydra Solver 🧩🏆,Krizsó Gergely,2026-06-22T05:46:32.370Z,,https://www.kaggle.com/code/lucifer19/arc-hydra-solver
dateRun,asterdan712/arc-agi-2-program-search-baseline-fork-extend,ARC-AGI-2: Program-Search Baseline (fork & extend),ABHIJOY SARKAR,2026-06-22T04:59:26.273Z,4,https://www.kaggle.com/code/asterdan712/arc-agi-2-program-search-baseline-fork-extend
dateRun,kokinnwakashuu/arc-agi-2-symbolic-search-public-guide,arc-agi-2-symbolic-search-public-guide,kokinnwakashuu,2026-06-21T02:52:06.217Z,5,https://www.kaggle.com/code/kokinnwakashuu/arc-agi-2-symbolic-search-public-guide
dateRun,iamjasonfeng/regressive-plasticity-schedule,Regressive Plasticity Schedule,Jason Feng,2026-06-20T13:43:50.427Z,1,https://www.kaggle.com/code/iamjasonfeng/regressive-plasticity-schedule
dateRun,aevionlabs/aevion-arc-agi2-qwen-baseline-v2,Aevion ARC AGI2 Qwen Baseline v2,Aevion-Labs,2026-06-19T04:43:25.140Z,5,https://www.kaggle.com/code/aevionlabs/aevion-arc-agi2-qwen-baseline-v2
dateRun,koushikrudra/arc-agi2-original-kg,ARC AGI2 Original KG,Koushik Rudra,2026-06-18T14:47:16.273Z,67,https://www.kaggle.com/code/koushikrudra/arc-agi2-original-kg
dateRun,juanpp11/arcitects,ARCitects,JUAN PABLO BLANDON URREGO,2026-06-18T03:04:36.167Z,,https://www.kaggle.com/code/juanpp11/arcitects
dateRun,koushikrudra/arc-agi2-golden-dsl-v1,ARC AGI2 Golden DSL v1,Koushik Rudra,2026-06-17T15:59:31.267Z,13,https://www.kaggle.com/code/koushikrudra/arc-agi2-golden-dsl-v1
dateRun,atommccree/property-bound-rule-contracts-arc-agi-2,Property-Bound Rule Contracts ARC AGI 2,Atom McCree,2026-06-17T06:03:42.763Z,2,https://www.kaggle.com/code/atommccree/property-bound-rule-contracts-arc-agi-2
dateRun,stupidxie/arc2026-hermesarc-v11-sanitized,ARC2026 HermesARC v11 sanitized,StupidXie,2026-06-16T17:24:42.750Z,,https://www.kaggle.com/code/stupidxie/arc2026-hermesarc-v11-sanitized
dateRun,stupidxie/arc2026-foysal-2026d-run,arc2026-foysal-2026d-run,StupidXie,2026-06-16T11:37:08.420Z,,https://www.kaggle.com/code/stupidxie/arc2026-foysal-2026d-run
dateRun,stupidxie/arc2026-failed-in-aimo-run,arc2026-failed-in-aimo-run,StupidXie,2026-06-16T11:26:32.123Z,,https://www.kaggle.com/code/stupidxie/arc2026-failed-in-aimo-run
dateRun,jguevarag/arcitets-v1,ARCitets V1,JEFERSON GUEVARA GARCIA,2026-06-15T23:28:24.957Z,,https://www.kaggle.com/code/jguevarag/arcitets-v1
dateRun,pascalledesma/arc2a2dbg1,arc2a2dbg1,Pascal,2026-06-15T20:23:15.770Z,,https://www.kaggle.com/code/pascalledesma/arc2a2dbg1
dateRun,markbistreanchirodea/arc-dia,Arc dia,Mark Bistrean-Chirodea,2026-06-14T15:40:08.757Z,1,https://www.kaggle.com/code/markbistreanchirodea/arc-dia
