sortBy,ref,title,author,lastRunTime,totalVotes,url
dateRun,koushikkumardinda/arc-prize-2026-arc-agi-2,ARC Prize 2026 - ARC-AGI-2,KOUSHIK KUMAR DINDA,2026-08-11T01:29:50.830Z,1,https://www.kaggle.com/code/koushikkumardinda/arc-prize-2026-arc-agi-2
dateRun,teisnestech/notebook128c76283c,notebook128c76283c,Teisnes Tech,2026-08-10T22:49:17.547Z,2,https://www.kaggle.com/code/teisnestech/notebook128c76283c
dateRun,afp2025/helixarc-arc2-submission,helixarc-arc2-submission,Brian Alvarez,2026-08-10T22:28:24.977Z,,https://www.kaggle.com/code/afp2025/helixarc-arc2-submission
dateRun,yusuketogashi/arc-baseline-rebuild,ARC Baseline Rebuild,Yusuke Togashi,2026-08-10T16:14:25.783Z,16,https://www.kaggle.com/code/yusuketogashi/arc-baseline-rebuild
dateRun,busyaprime/arc-agi-2-what-actually-makes-a-task-hard,ARC-AGI-2 what actually makes a task hard,Busya PRIME,2026-08-10T14:05:25.850Z,1,https://www.kaggle.com/code/busyaprime/arc-agi-2-what-actually-makes-a-task-hard
dateRun,lucifer19/arc-agi-2-blackcat-raw-signal-challenger,ARC-AGI-2 BlackCat Raw-Signal Challenger,Krizsó Gergely,2026-08-10T10:31:04.627Z,,https://www.kaggle.com/code/lucifer19/arc-agi-2-blackcat-raw-signal-challenger
dateRun,denizeryilmaz/arc2-nvarc-ensemble-v1,ARC2 NVARC Ensemble v1,Deniz,2026-08-10T06:43:07.157Z,,https://www.kaggle.com/code/denizeryilmaz/arc2-nvarc-ensemble-v1
dateRun,karenletir/arc-agi2-v5,arc-agi2 v5,Karen Letir,2026-08-10T06:14:59.307Z,,https://www.kaggle.com/code/karenletir/arc-agi2-v5
dateRun,abdillahsagif/arc-agi2-baseline-submission,arc agi2 baseline submission,Abdillah Sagif,2026-08-09T16:14:48.117Z,,https://www.kaggle.com/code/abdillahsagif/arc-agi2-baseline-submission
dateRun,abdillahsagif/arc-agi2-what-a-zero-measures,arc agi2 what a zero measures,Abdillah Sagif,2026-08-09T16:14:44.053Z,,https://www.kaggle.com/code/abdillahsagif/arc-agi2-what-a-zero-measures
dateRun,maximolorenzoylosada/arc-agi-2-a-submission-starter-and-a-trap,ARC-AGI-2: A Submission Starter and a Trap,maximo lorenzo y losada,2026-08-09T15:30:37.477Z,3,https://www.kaggle.com/code/maximolorenzoylosada/arc-agi-2-a-submission-starter-and-a-trap
dateRun,maximolorenzoylosada/arc-agi-2-a-structural-atlas-of-the-corpus,ARC-AGI-2: A Structural Atlas of the Corpus,maximo lorenzo y losada,2026-08-09T14:48:29.127Z,3,https://www.kaggle.com/code/maximolorenzoylosada/arc-agi-2-a-structural-atlas-of-the-corpus
dateRun,dv29pro/arc-prize-2026-robust-diverse-baseline,ARC Prize 2026 Robust Diverse Baseline,dv29_pro,2026-08-09T11:54:55.193Z,,https://www.kaggle.com/code/dv29pro/arc-prize-2026-robust-diverse-baseline
dateRun,lucifer19/arc-agi-2-compact-top-1-baseline,🧠🐈‍⬛ ARC-AGI-2 — Compact Top-1% Baseline,Krizsó Gergely,2026-08-09T08:29:28.663Z,1,https://www.kaggle.com/code/lucifer19/arc-agi-2-compact-top-1-baseline
dateRun,kizhowl/notebooke6c8a4c77c,notebooke6c8a4c77c,Kiz Howl,2026-08-09T05:01:28.757Z,,https://www.kaggle.com/code/kizhowl/notebooke6c8a4c77c
dateRun,balamuruganaiml/arc-version-2,ARC-Version 2,Bala Murugan AIML,2026-08-08T07:12:04.163Z,1,https://www.kaggle.com/code/balamuruganaiml/arc-version-2
dateRun,nekkon/arc-agi-2-the-free-tail-is-empty,ARC-AGI-2: the free tail is empty,Luka Duvanov,2026-08-08T00:44:34.123Z,1,https://www.kaggle.com/code/nekkon/arc-agi-2-the-free-tail-is-empty
dateRun,dominic789654/nvarc-l4-bf16-v1,NVARC L4 bf16 v1,Dominic,2026-08-07T06:17:58.770Z,,https://www.kaggle.com/code/dominic789654/nvarc-l4-bf16-v1
dateRun,dynamo14324/arc-agi-2-symbolic-baseline,ARC-AGI-2 Symbolic Baseline,Yogesh Jadhav,2026-08-07T05:50:41.363Z,2,https://www.kaggle.com/code/dynamo14324/arc-agi-2-symbolic-baseline
dateRun,aevionlabs/arc-agi-2-scraped-patterns,ARC-AGI-2 Scraped Patterns,Aevion-Labs,2026-08-07T04:53:52.543Z,1,https://www.kaggle.com/code/aevionlabs/arc-agi-2-scraped-patterns
dateRun,aevionlabs/arc-agi-2-hybrid-solver,ARC-AGI-2 Hybrid Solver,Aevion-Labs,2026-08-07T02:58:56.433Z,,https://www.kaggle.com/code/aevionlabs/arc-agi-2-hybrid-solver
dateRun,aevionlabs/arc-agi-2-icecuber-based-solver-v2,ARC-AGI-2 Icecuber-based Solver v2,Aevion-Labs,2026-08-07T02:55:42.603Z,,https://www.kaggle.com/code/aevionlabs/arc-agi-2-icecuber-based-solver-v2
dateRun,aevionlabs/arc-agi-2-v6-solver,ARC-AGI-2 v6 Solver,Aevion-Labs,2026-08-07T02:46:37.530Z,,https://www.kaggle.com/code/aevionlabs/arc-agi-2-v6-solver
