Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,15486939,nvbanana,"2026-05-25 15:00:16",42.64,36,"cpmpml,darraghdog"
2,15531975,"Sanjay Dutt","2026-04-17 04:08:32",33.47,17,sanjaygoyal1982
3,15618366,"Hiểu Vy","2026-05-25 01:40:14",33.47,22,thangnm1
4,15494357,"Van-Phuc Huynh","2026-05-24 18:03:12",33.47,53,hvanphucs112
5,15644304,"Joel Vetterlin","2026-05-25 10:56:55",33.19,13,joelvetterlin2
6,15500458,Renoir,"2026-05-25 03:50:33",33.06,53,itahiro
7,15526034,keithtyser,"2026-05-17 21:38:15",33.06,22,keithtyser
8,15522728,"Junhua Yang","2026-05-25 05:31:54",33.06,56,junhuay
9,15497207,"Tony Li","2026-05-25 22:41:47",32.64,10,tonylica
10,15494362,SVG,"2026-04-16 06:23:57",32.64,19,sandeepgoyal1980
11,15520034,"Kamado Tanjiro","2026-04-17 05:42:55",32.64,19,parthg0106
12,15492775,"Mathurin Ache","2026-05-22 05:54:24",32.64,41,mathurinache
13,15520038,"[a-z A-Z] [1-9]","2026-04-16 06:23:30",32.64,18,sumanb1985
14,15531109,zigo,"2026-05-25 14:38:35",32.64,18,zigohr
15,15652647,"PEI HAOYU 0805","2026-04-22 03:04:35",32.64,3,peihaoyu0805
16,15510100,Tshithihi,"2026-05-04 17:45:26",32.64,8,nawfeelrahman1124444
17,15487968,"Jack Cole","2026-05-26 00:39:31",32.36,63,jcole75
18,15517102,IC2,"2026-05-14 01:54:49",32.22,28,jonathanchan
19,15500980,today,"2026-05-25 12:02:01",32.22,58,today55
20,15493126,theredbluepill,"2026-05-25 06:27:11",32.22,34,poonszesen
21,15494530,Snow,"2026-05-22 20:08:43",32.22,19,tasniemnasser
22,15660738,"Ahmet Pamuk","2026-05-14 18:53:27",32.22,2,ahmeterdempamuk
23,15786888,"Kun Zhang","2026-05-25 07:00:40",32.22,24,beicicc
24,15595459,Ernie,"2026-05-25 06:59:22",32.22,44,ernie55ernie
25,15617026,"VAP RF5","2026-05-16 12:20:26",31.94,23,vaprf5
26,15557805,NNMax,"2026-04-17 06:40:04",31.81,4,ashok205
27,15552544,"Komil Parmar","2026-04-13 07:55:37",31.81,3,komilparmar
28,15489994,songling,"2026-04-24 03:14:37",31.81,15,"lvbingrong,miguelhu,oralia"
29,15490244,dlwzq,"2026-04-21 15:37:00",31.81,2,wuzhiqiang01
30,15494442,"Ifeoluwa Adewumi","2026-04-15 11:19:04",31.81,1,ifeadewumi
31,15495199,Aiska,"2026-04-24 03:09:15",31.81,9,sapr3s
32,15633925,Disgon,"2026-05-25 03:26:33",31.81,39,vbardiovsky
33,15647123,Penguin,"2026-05-24 06:53:37",31.81,37,penguin069
34,15499141,"kwon yong deuk","2026-05-25 08:09:13",31.81,53,kwonyongdeuk
35,15487592,CCT,"2026-05-25 13:39:17",31.81,43,chuhanwu86
36,15488123,"Breno & Sebastian","2026-05-20 11:16:41",31.81,38,"brenorb,sebastianmateus"
37,15516639,双人成行,"2026-05-25 13:56:01",31.81,24,"alisenkorea,echochen0518"
38,15787984,singasongcw,"2026-05-05 10:56:40",31.81,3,chaewon24
39,15649571,sap123,"2026-05-10 19:16:08",31.81,14,shashwatparikh
40,15626336,Hossein,"2026-05-11 18:05:30",31.81,23,tomi85
41,15629362,"Kumar Abhijeet","2026-05-13 04:07:54",31.81,5,krabhijeet
42,15658284,"Nazura Wirayuda Tama","2026-05-25 07:26:00",31.81,27,nazurawirayudatama
43,15507420,Gingsong,"2026-05-25 00:08:34",31.81,20,gingsong
44,15510859,Mattpelor,"2026-05-16 05:06:41",31.67,29,mattpelor
45,15520042,"Redfield Rentals","2026-04-17 05:43:29",31.53,19,niyatisingla
46,15944042,MLRush,"2026-05-14 02:02:51",31.53,1,mlrush
