Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,15486939,nvbanana,"2026-06-05 09:31:43",49.17,45,"cpmpml,darraghdog"
2,15618366,"Hiểu Vy","2026-06-06 15:52:54",34.44,34,thangnm1
3,15531975,"Sanjay Dutt","2026-04-17 04:08:32",33.47,17,sanjaygoyal1982
4,15494357,"Van-Phuc Huynh","2026-06-05 01:55:05",33.47,65,hvanphucs112
5,15644304,"Joel Vetterlin","2026-05-30 02:23:30",33.19,18,joelvetterlin2
6,15658284,"Nazura Wirayuda Tama","2026-06-06 04:05:37",33.19,37,nazurawirayudatama
7,15500458,Renoir,"2026-06-06 01:50:33",33.06,64,itahiro
8,15526034,keithtyser,"2026-05-17 21:38:15",33.06,22,keithtyser
9,15522728,"Junhua Yang","2026-06-06 02:15:06",33.06,68,junhuay
10,15516636,john,"2026-06-03 19:56:16",32.78,8,jaejohn
11,15497207,"Tony Li","2026-05-30 14:13:12",32.64,11,tonylica
12,15494362,SVG,"2026-04-16 06:23:57",32.64,19,sandeepgoyal1980
13,15520034,"Kamado Tanjiro","2026-04-17 05:42:55",32.64,19,parthg0106
14,15492775,"Mathurin Ache","2026-06-06 15:04:55",32.64,53,mathurinache
15,15520038,"[a-z A-Z] [1-9]","2026-04-16 06:23:30",32.64,18,sumanb1985
16,15531109,zigo,"2026-06-01 23:40:54",32.64,19,zigohr
17,15652647,"PEI HAOYU 0805","2026-04-22 03:04:35",32.64,3,peihaoyu0805
18,15510100,Tshithihi,"2026-06-06 13:30:15",32.64,9,nawfeelrahman1124444
19,16072728,"Emre Cirak","2026-06-05 13:26:12",32.64,10,biohack44
20,16117749,Ajay_Rao_43,"2026-06-04 02:12:33",32.64,2,ajayrao43
21,15494530,Snow,"2026-06-06 11:54:28",32.64,23,tasniemnasser
22,15487968,"Jack Cole","2026-06-06 00:21:32",32.36,74,jcole75
23,15543568,"Chew Kok Wah","2026-06-05 23:56:30",32.36,51,chewkokwahibrainai
24,15517102,IC2,"2026-05-14 01:54:49",32.22,28,jonathanchan
25,15500980,today,"2026-06-06 01:04:54",32.22,70,today55
26,15493126,theredbluepill,"2026-05-25 06:27:11",32.22,34,poonszesen
27,15660738,"Ahmet Pamuk","2026-05-14 18:53:27",32.22,2,ahmeterdempamuk
28,15786888,"Kun Zhang","2026-06-06 04:05:22",32.22,36,beicicc
29,15595459,Ernie,"2026-06-06 15:22:26",32.22,50,ernie55ernie
30,15504852,FOYSAL,"2026-06-06 16:05:47",32.22,23,foysalemonshanto
31,15617026,"VAP RF5","2026-05-16 12:20:26",31.94,23,vaprf5
32,15557805,NNMax,"2026-04-17 06:40:04",31.81,4,ashok205
33,15552544,"Komil Parmar","2026-04-13 07:55:37",31.81,3,komilparmar
34,15489994,songling,"2026-04-24 03:14:37",31.81,15,"lvbingrong,miguelhu,oralia"
35,15490244,dlwzq,"2026-06-04 03:44:42",31.81,3,wuzhiqiang01
36,15494442,"Ifeoluwa Adewumi","2026-06-02 10:01:27",31.81,2,ifeadewumi
37,15495199,Aiska,"2026-04-24 03:09:15",31.81,9,sapr3s
38,15633925,Disgon,"2026-06-06 14:15:41",31.81,51,vbardiovsky
39,15647123,Penguin,"2026-06-06 04:36:20",31.81,49,penguin069
40,15499141,"kwon yong deuk","2026-06-04 01:17:38",31.81,63,kwonyongdeuk
41,15487592,CCT,"2026-06-04 07:23:00",31.81,53,chuhanwu86
42,15488123,"Breno & Sebastian","2026-05-20 11:16:41",31.81,38,"brenorb,sebastianmateus"
43,15516639,双人成行,"2026-05-27 14:56:18",31.81,26,"alisenkorea,echochen0518"
44,15787984,singasongcw,"2026-05-05 10:56:40",31.81,3,chaewon24
45,15649571,sap123,"2026-06-05 20:33:28",31.81,17,shashwatparikh
46,15626336,Hossein,"2026-05-11 18:05:30",31.81,23,tomi85
47,15629362,"Kumar Abhijeet","2026-05-13 04:07:54",31.81,5,krabhijeet
48,15507420,Gingsong,"2026-05-30 09:32:00",31.81,22,gingsong
49,15488778,"Kenleung Leung","2026-06-06 15:37:55",31.81,51,kenleungleung
50,16060097,StructurallyUnsound,"2026-05-31 05:32:00",31.81,6,structurallyunsound
51,15500583,"Osman Bayram","2026-06-06 06:29:09",31.81,16,osman0
52,15883525,"adhithyan u","2026-06-06 16:08:56",31.81,24,adhithyanu03
53,15510859,Mattpelor,"2026-05-16 05:06:41",31.67,29,mattpelor
54,15520042,"Redfield Rentals","2026-04-17 05:43:29",31.53,19,niyatisingla
55,15944042,MLRush,"2026-05-14 02:02:51",31.53,1,mlrush
