Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,15486939,nvbanana,2026-06-05 09:31:43,49.17,45,"cpmpml,darraghdog"
2,15618366,Hiểu Vy,2026-06-09 09:26:05,34.44,37,thangnm1
3,15523577,Koushik Rudra,2026-06-09 17:46:04,33.89,23,"koushikrudra,nabidnur"
4,15531975,Sanjay Dutt,2026-04-17 04:08:32,33.47,17,sanjaygoyal1982
5,15494357,Van-Phuc Huynh,2026-06-09 10:34:06,33.47,69,hvanphucs112
6,15644304,Joel Vetterlin,2026-05-30 02:23:30,33.19,18,joelvetterlin2
7,15658284,Nazura Wirayuda Tama,2026-06-09 15:31:29,33.19,40,nazurawirayudatama
8,15500458,Renoir,2026-06-10 04:31:17,33.06,68,itahiro
9,15526034,keithtyser,2026-05-17 21:38:15,33.06,22,keithtyser
10,15522728,Junhua Yang,2026-06-10 04:58:25,33.06,72,junhuay
11,15650935,MadrARC,2026-06-10 08:07:15,33.06,8,rahulvimalkanth
12,15516636,john,2026-06-08 07:54:56,32.78,10,jaejohn
13,16246272,phuongncn,2026-06-09 02:32:23,32.78,4,phuongncn
14,15497207,Tony Li,2026-05-30 14:13:12,32.64,11,tonylica
15,15494362,SVG,2026-04-16 06:23:57,32.64,19,sandeepgoyal1980
16,15520034,Kamado Tanjiro,2026-04-17 05:42:55,32.64,19,parthg0106
17,15492775,Mathurin Ache,2026-06-06 15:04:55,32.64,53,mathurinache
18,15520038,[a-z A-Z] [1-9],2026-04-16 06:23:30,32.64,18,sumanb1985
19,15531109,zigo,2026-06-08 08:12:58,32.64,20,zigohr
20,15652647,PEI HAOYU 0805,2026-04-22 03:04:35,32.64,3,peihaoyu0805
21,15510100,Tshithihi,2026-06-10 05:14:46,32.64,12,nawfeelrahman1124444
22,16072728,Emre Cirak,2026-06-10 20:45:16,32.64,14,biohack44
23,16117749,Ajay_Rao_43,2026-06-04 02:12:33,32.64,2,ajayrao43
24,15494530,Snow,2026-06-09 21:40:09,32.64,25,tasniemnasser
25,16029705,AAElter,2026-06-10 08:46:45,32.64,7,aaelter
26,15487968,Jack Cole,2026-06-10 02:56:10,32.36,78,jcole75
27,15543568,Chew Kok Wah,2026-06-09 23:58:53,32.36,55,chewkokwahibrainai
28,15517102,IC2,2026-05-14 01:54:49,32.22,28,jonathanchan
29,15500980,today,2026-06-10 05:37:10,32.22,74,today55
30,15493126,theredbluepill,2026-05-25 06:27:11,32.22,34,poonszesen
31,15660738,Ahmet Pamuk,2026-05-14 18:53:27,32.22,2,ahmeterdempamuk
32,15786888,Kun Zhang,2026-06-10 06:51:11,32.22,40,beicicc
33,15595459,Ernie,2026-06-09 06:01:38,32.22,53,ernie55ernie
34,15504852,FOYSAL,2026-06-10 09:49:10,32.22,26,foysalemonshanto
35,15489269,Kha Vo,2026-06-09 08:33:35,32.22,6,khahuras
36,15487592,CCT,2026-06-10 08:19:29,32.22,57,chuhanwu86
37,15617026,VAP RF5,2026-05-16 12:20:26,31.94,23,vaprf5
38,15557805,NNMax,2026-04-17 06:40:04,31.81,4,ashok205
39,15552544,Komil Parmar,2026-04-13 07:55:37,31.81,3,komilparmar
40,15489994,songling,2026-06-09 02:47:11,31.81,16,"lvbingrong,miguelhu,oralia"
41,15490244,dlwzq,2026-06-04 03:44:42,31.81,3,wuzhiqiang01
42,15494442,Ifeoluwa Adewumi,2026-06-10 08:53:12,31.81,3,ifeadewumi
43,15495199,Aiska,2026-04-24 03:09:15,31.81,9,sapr3s
44,15633925,Disgon,2026-06-10 07:44:44,31.81,54,vbardiovsky
45,15647123,Penguin,2026-06-10 07:33:12,31.81,53,penguin069
46,15499141,kwon yong deuk,2026-06-04 01:17:38,31.81,63,kwonyongdeuk
47,15488123,Breno & Sebastian,2026-05-20 11:16:41,31.81,38,"brenorb,sebastianmateus"
48,15516639,双人成行,2026-05-27 14:56:18,31.81,26,"alisenkorea,echochen0518"
49,15787984,singasongcw,2026-05-05 10:56:40,31.81,3,chaewon24
50,15649571,sap123,2026-06-05 20:33:28,31.81,17,shashwatparikh
51,15626336,Hossein,2026-05-11 18:05:30,31.81,23,tomi85
52,15629362,Kumar Abhijeet,2026-05-13 04:07:54,31.81,5,krabhijeet
53,15507420,Gingsong,2026-05-30 09:32:00,31.81,22,gingsong
54,15488778,Kenleung Leung,2026-06-10 12:50:09,31.81,55,kenleungleung
55,16060097,StructurallyUnsound,2026-05-31 05:32:00,31.81,6,structurallyunsound
56,15500583,Osman Bayram,2026-06-10 04:50:55,31.81,20,osman0
57,15883525,adhithyan u,2026-06-10 09:11:57,31.81,28,adhithyanu03
58,15510859,Mattpelor,2026-05-16 05:06:41,31.67,29,mattpelor
59,15520042,Redfield Rentals,2026-04-17 05:43:29,31.53,19,niyatisingla
