Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,15486939,nvbanana,"2026-06-05 09:31:43",49.17,45,"cpmpml,darraghdog"
2,15618366,"Hiểu Vy","2026-06-07 15:27:25",34.44,35,thangnm1
3,15523577,"Koushik Rudra","2026-06-07 19:07:03",33.89,12,koushikrudra
4,15531975,"Sanjay Dutt","2026-04-17 04:08:32",33.47,17,sanjaygoyal1982
5,15494357,"Van-Phuc Huynh","2026-06-07 21:29:09",33.47,67,hvanphucs112
6,15644304,"Joel Vetterlin","2026-05-30 02:23:30",33.19,18,joelvetterlin2
7,15658284,"Nazura Wirayuda Tama","2026-06-07 15:11:55",33.19,38,nazurawirayudatama
8,15500458,Renoir,"2026-06-07 23:38:26",33.06,65,itahiro
9,15526034,keithtyser,"2026-05-17 21:38:15",33.06,22,keithtyser
10,15522728,"Junhua Yang","2026-06-07 03:24:54",33.06,69,junhuay
11,15516636,john,"2026-06-07 14:29:29",32.78,9,jaejohn
12,16246272,phuongncn,"2026-06-08 00:51:35",32.78,3,phuongncn
13,15497207,"Tony Li","2026-05-30 14:13:12",32.64,11,tonylica
14,15494362,SVG,"2026-04-16 06:23:57",32.64,19,sandeepgoyal1980
15,15520034,"Kamado Tanjiro","2026-04-17 05:42:55",32.64,19,parthg0106
16,15492775,"Mathurin Ache","2026-06-06 15:04:55",32.64,53,mathurinache
17,15520038,"[a-z A-Z] [1-9]","2026-04-16 06:23:30",32.64,18,sumanb1985
18,15531109,zigo,"2026-06-01 23:40:54",32.64,19,zigohr
19,15652647,"PEI HAOYU 0805","2026-04-22 03:04:35",32.64,3,peihaoyu0805
20,15510100,Tshithihi,"2026-06-08 08:15:40",32.64,10,nawfeelrahman1124444
21,16072728,"Emre Cirak","2026-06-07 19:44:08",32.64,11,biohack44
22,16117749,Ajay_Rao_43,"2026-06-04 02:12:33",32.64,2,ajayrao43
23,15494530,Snow,"2026-06-07 07:21:23",32.64,24,tasniemnasser
24,15487968,"Jack Cole","2026-06-07 00:00:18",32.36,75,jcole75
25,15543568,"Chew Kok Wah","2026-06-07 23:56:14",32.36,53,chewkokwahibrainai
26,15517102,IC2,"2026-05-14 01:54:49",32.22,28,jonathanchan
27,15500980,today,"2026-06-07 12:30:29",32.22,71,today55
28,15493126,theredbluepill,"2026-05-25 06:27:11",32.22,34,poonszesen
29,15660738,"Ahmet Pamuk","2026-05-14 18:53:27",32.22,2,ahmeterdempamuk
30,15786888,"Kun Zhang","2026-06-07 06:33:12",32.22,37,beicicc
31,15595459,Ernie,"2026-06-07 14:47:15",32.22,51,ernie55ernie
32,15504852,FOYSAL,"2026-06-07 06:38:06",32.22,24,foysalemonshanto
33,15489269,"Kha Vo","2026-06-07 18:52:25",32.22,4,khahuras
34,15617026,"VAP RF5","2026-05-16 12:20:26",31.94,23,vaprf5
35,15557805,NNMax,"2026-04-17 06:40:04",31.81,4,ashok205
36,15552544,"Komil Parmar","2026-04-13 07:55:37",31.81,3,komilparmar
37,15489994,songling,"2026-04-24 03:14:37",31.81,15,"lvbingrong,miguelhu,oralia"
38,15490244,dlwzq,"2026-06-04 03:44:42",31.81,3,wuzhiqiang01
39,15494442,"Ifeoluwa Adewumi","2026-06-02 10:01:27",31.81,2,ifeadewumi
40,15495199,Aiska,"2026-04-24 03:09:15",31.81,9,sapr3s
41,15633925,Disgon,"2026-06-06 14:15:41",31.81,51,vbardiovsky
42,15647123,Penguin,"2026-06-07 06:25:34",31.81,50,penguin069
43,15499141,"kwon yong deuk","2026-06-04 01:17:38",31.81,63,kwonyongdeuk
44,15487592,CCT,"2026-06-07 21:41:48",31.81,54,chuhanwu86
45,15488123,"Breno & Sebastian","2026-05-20 11:16:41",31.81,38,"brenorb,sebastianmateus"
46,15516639,双人成行,"2026-05-27 14:56:18",31.81,26,"alisenkorea,echochen0518"
47,15787984,singasongcw,"2026-05-05 10:56:40",31.81,3,chaewon24
48,15649571,sap123,"2026-06-05 20:33:28",31.81,17,shashwatparikh
49,15626336,Hossein,"2026-05-11 18:05:30",31.81,23,tomi85
50,15629362,"Kumar Abhijeet","2026-05-13 04:07:54",31.81,5,krabhijeet
51,15507420,Gingsong,"2026-05-30 09:32:00",31.81,22,gingsong
52,15488778,"Kenleung Leung","2026-06-07 10:17:32",31.81,52,kenleungleung
53,16060097,StructurallyUnsound,"2026-05-31 05:32:00",31.81,6,structurallyunsound
54,15500583,"Osman Bayram","2026-06-07 10:16:12",31.81,17,osman0
55,15883525,"adhithyan u","2026-06-08 04:37:42",31.81,26,adhithyanu03
56,15510859,Mattpelor,"2026-05-16 05:06:41",31.67,29,mattpelor
