Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,15486939,nvbanana,"2026-05-31 05:21:50",49.17,42,"cpmpml,darraghdog"
2,15618366,"Hiểu Vy","2026-05-30 11:03:20",34.44,27,thangnm1
3,15531975,"Sanjay Dutt","2026-04-17 04:08:32",33.47,17,sanjaygoyal1982
4,15494357,"Van-Phuc Huynh","2026-05-30 19:50:09",33.47,59,hvanphucs112
5,15644304,"Joel Vetterlin","2026-05-30 02:23:30",33.19,18,joelvetterlin2
6,15658284,"Nazura Wirayuda Tama","2026-05-30 11:31:12",33.19,30,nazurawirayudatama
7,15500458,Renoir,"2026-05-31 08:25:14",33.06,59,itahiro
8,15526034,keithtyser,"2026-05-17 21:38:15",33.06,22,keithtyser
9,15522728,"Junhua Yang","2026-05-30 01:10:05",33.06,61,junhuay
10,15497207,"Tony Li","2026-05-30 14:13:12",32.64,11,tonylica
11,15494362,SVG,"2026-04-16 06:23:57",32.64,19,sandeepgoyal1980
12,15520034,"Kamado Tanjiro","2026-04-17 05:42:55",32.64,19,parthg0106
13,15492775,"Mathurin Ache","2026-05-31 08:38:16",32.64,47,mathurinache
14,15520038,"[a-z A-Z] [1-9]","2026-04-16 06:23:30",32.64,18,sumanb1985
15,15531109,zigo,"2026-05-25 14:38:35",32.64,18,zigohr
16,15652647,"PEI HAOYU 0805","2026-04-22 03:04:35",32.64,3,peihaoyu0805
17,15510100,Tshithihi,"2026-05-04 17:45:26",32.64,8,nawfeelrahman1124444
18,15487968,"Jack Cole","2026-05-31 00:24:14",32.36,68,jcole75
19,15543568,"Chew Kok Wah","2026-05-30 23:50:54",32.36,47,chewkokwahibrainai
20,15517102,IC2,"2026-05-14 01:54:49",32.22,28,jonathanchan
21,15500980,today,"2026-05-31 13:31:00",32.22,64,today55
22,15493126,theredbluepill,"2026-05-25 06:27:11",32.22,34,poonszesen
23,15494530,Snow,"2026-05-31 09:29:43",32.22,20,tasniemnasser
24,15660738,"Ahmet Pamuk","2026-05-14 18:53:27",32.22,2,ahmeterdempamuk
25,15786888,"Kun Zhang","2026-05-31 05:08:49",32.22,30,beicicc
26,15595459,Ernie,"2026-05-28 08:07:19",32.22,47,ernie55ernie
27,15617026,"VAP RF5","2026-05-16 12:20:26",31.94,23,vaprf5
28,15557805,NNMax,"2026-04-17 06:40:04",31.81,4,ashok205
29,15552544,"Komil Parmar","2026-04-13 07:55:37",31.81,3,komilparmar
30,15489994,songling,"2026-04-24 03:14:37",31.81,15,"lvbingrong,miguelhu,oralia"
31,15490244,dlwzq,"2026-04-21 15:37:00",31.81,2,wuzhiqiang01
32,15494442,"Ifeoluwa Adewumi","2026-04-15 11:19:04",31.81,1,ifeadewumi
33,15495199,Aiska,"2026-04-24 03:09:15",31.81,9,sapr3s
34,15633925,Disgon,"2026-05-31 08:22:46",31.81,45,vbardiovsky
35,15647123,Penguin,"2026-05-31 06:33:24",31.81,43,penguin069
36,15499141,"kwon yong deuk","2026-05-31 07:56:22",31.81,59,kwonyongdeuk
37,15487592,CCT,"2026-05-31 09:52:22",31.81,49,chuhanwu86
38,15488123,"Breno & Sebastian","2026-05-20 11:16:41",31.81,38,"brenorb,sebastianmateus"
39,15516639,双人成行,"2026-05-27 14:56:18",31.81,26,"alisenkorea,echochen0518"
40,15787984,singasongcw,"2026-05-05 10:56:40",31.81,3,chaewon24
41,15649571,sap123,"2026-05-29 20:57:34",31.81,15,shashwatparikh
42,15626336,Hossein,"2026-05-11 18:05:30",31.81,23,tomi85
43,15629362,"Kumar Abhijeet","2026-05-13 04:07:54",31.81,5,krabhijeet
44,15507420,Gingsong,"2026-05-30 09:32:00",31.81,22,gingsong
45,15488778,"Kenleung Leung","2026-05-31 04:56:56",31.81,45,kenleungleung
46,16060097,StructurallyUnsound,"2026-05-31 05:32:00",31.81,6,structurallyunsound
47,15510859,Mattpelor,"2026-05-16 05:06:41",31.67,29,mattpelor
48,15520042,"Redfield Rentals","2026-04-17 05:43:29",31.53,19,niyatisingla
49,15944042,MLRush,"2026-05-14 02:02:51",31.53,1,mlrush
50,15486893,"THUNDER THUNDER","2026-04-08 10:52:57",31.39,2,thunderthunder
51,15527643,"Roasted Duck","2026-04-14 18:33:21",31.39,5,trongmp04
52,15491104,KaggleARC,"2026-05-16 06:39:40",31.39,7,"aryabhattadey,madarshbb,vaibhav486"
53,15563011,kcy4,"2026-04-12 22:34:11",31.39,3,cy4ego
54,15590761,"Seok, Jeongeum","2026-05-31 00:27:42",31.39,35,seokjeongeum
55,15500647,"Yasser Othman","2026-05-31 12:08:33",31.39,36,yasserothman
56,15520031,"Dhanashree Chavan","2026-04-17 04:09:06",31.39,19,dhanashreechavan2000
57,15578667,hongan,"2026-04-12 16:10:12",31.39,5,honganzhu
58,15736695,"Muhammad Atif","2026-04-26 04:59:13",31.39,10,"atifkhan12,hweowe"
59,15499730,"Nikita Makarov","2026-04-26 18:50:16",31.39,2,nikimakarov
60,15498576,TuMinhDang,"2026-05-11 08:10:51",31.39,4,darkswordmg
61,15495048,"Surya milenial","2026-05-24 01:13:22",31.39,35,suryamilenial
62,15633621,"Guanshuo Xu","2026-04-22 02:41:56",31.39,1,wowfattie
63,15491167,Kh0a,"2026-04-22 04:30:55",31.39,2,llkh0a
64,15486751,"Recovering ARC-aholic","2026-05-30 09:41:46",31.39,48,nihilisticneuralnet
65,15623254,"Mudit Chaturvedi","2026-05-08 16:58:03",31.39,14,muchat007
66,15499408,JRSSKumarD,"2026-04-29 01:10:51",31.39,2,jrsskumard
67,15495280,Yusuraume,"2026-05-31 02:27:39",31.39,52,sugitatomohiko
68,15511497,Dr_F,"2026-05-15 23:24:51",31.39,13,algebraictopology
69,15496197,"Bradley Shervheim","2026-05-29 20:36:37",31.39,50,bradleyshervheim
70,15582920,colt,"2026-05-04 10:56:39",31.39,3,xiaomaguo
71,15584484,"Aman Atar","2026-05-17 17:23:19",31.39,20,amanatar
72,15537955,"HARRABI Raouf","2026-05-31 00:56:52",31.39,39,harrabiraouf
73,15903566,"Nischay Dhankhar","2026-05-13 07:52:50",31.39,2,nischaydnk
74,15571791,"omar zoloev","2026-05-30 19:22:07",31.39,44,tsebaka
75,15914329,"Paulo Pinto","2026-05-20 19:27:19",31.39,6,paulorzp
76,15523080,"Grigoryan Sergey","2026-05-26 08:19:09",31.39,9,hertryggr
77,15487232,w,"2026-05-30 03:07:48",31.39,10,wwwwzz
78,15592005,Blu3s,"2026-04-28 22:43:35",31.25,15,atteincueo
79,15520047,"Winner Winner, BBQ Dinner","2026-04-17 05:43:12",31.11,19,manavsingla2005
80,15523524,"Muhammad Junaid","2026-04-15 14:51:38",31.11,3,junaid512
81,15508009,CuteClaw,"2026-05-16 12:09:46",31.11,27,bloodmoonwq
82,15640821,"Ayman Hamed","2026-05-05 09:09:43",31.11,15,ayman3000
83,15724474,LogicLab,"2026-05-29 01:03:23",31.11,12,logiclab
84,15661145,Bitterbot,"2026-05-31 00:21:27",31.11,23,"douglasfinlay,victormgil"
85,15495422,tf,"2026-05-30 01:09:21",31.11,25,tfukuhara
86,15494594,kglctf,"2026-05-23 18:52:38",30.97,34,kglctf
87,15491319,"Jeki Wan Taufik","2026-05-27 06:28:52",30.97,11,jek1wantaufik
88,15500245,"Aleksandr Lutskiy","2026-05-26 06:33:19",30.97,15,aleksandrlutskiy
89,15575329,"Yiheng Wang","2026-04-15 09:47:59",30.97,5,yiheng
90,15491864,"Aleksandr  Larko","2026-04-15 00:00:16",30.97,13,alexxanderlarko
91,15486932,"Mirza Milan Farabi","2026-04-25 18:23:13",30.97,14,mirzamilanfarabi
92,15491001,G-P-U,"2026-05-22 17:00:01",30.97,22,baidalinadilzhan
93,15576578,cm391,"2026-04-12 08:08:15",30.97,4,mccocoful
94,15533507,ARE-ARC,"2026-04-22 16:41:25",30.97,11,rockdevs
95,15524601,"Rushank Choksi","2026-04-14 10:17:04",30.97,4,rushankchoksi
96,15523577,"Koushik Rudra","2026-05-10 13:01:45",30.97,11,koushikrudra
97,15546991,"Maxime Carriere","2026-05-29 05:04:36",30.97,16,maximecarriere
98,15608920,wqlun06,"2026-05-23 12:51:30",30.97,14,wqlun06
99,15550542,"Nabid Nur","2026-04-23 18:59:35",30.97,9,nabidnur
100,15513679,"Pragnyan Ramtha","2026-04-19 07:34:46",30.97,7,pragnyanramtha
101,15520490,"Yaroslav kholmirzayev","2026-05-27 20:59:22",30.97,5,yaroslavkholmirzayev
102,15504737,AidenSong123,"2026-04-15 09:50:19",30.97,5,aidensong123
103,15569795,Jules,"2026-04-22 09:40:02",30.97,4,julesvanligtenberg
104,15501171,"Yi-Chia Chen","2026-04-16 16:06:08",30.97,1,threerabbits
105,15578249,Maxim,"2026-04-19 23:40:40",30.97,5,ektarr
106,15505316,"Hu Xingyu","2026-05-11 04:59:49",30.97,31,huxingyu
107,15523103,Shashikumar@9461,"2026-04-22 05:51:45",30.97,4,shashikumar9461
108,15621537,"Pedro Marques","2026-04-21 09:39:58",30.97,5,pedromarques02
109,15494942,没落者,"2026-05-10 15:01:09",30.97,26,needless090
110,15486749,Ali,"2026-04-29 19:24:29",30.97,32,asalhi
111,15506880,Forrest,"2026-04-26 12:46:51",30.97,17,yinxiaogang
112,15724950,"Nuno Ferreira","2026-05-31 05:58:20",30.97,3,ngcferreira
113,15561067,alfaraco,"2026-05-31 04:24:37",30.97,51,alfaraco12
114,15630529,"dongdong zhang","2026-05-04 12:57:24",30.97,11,mcdongdongzhang
115,15605360,"Dmitry Kozlov","2026-05-06 00:11:47",30.97,16,dkozlov
116,15673464,rxvikumar,"2026-05-06 18:07:39",30.97,6,rxvikumar
117,15488128,Kirderf,"2026-05-29 15:20:52",30.97,15,kirderf
118,15496426,Shin1001,"2026-04-29 14:35:46",30.97,1,shin1001
119,15626632,ulankaggle,"2026-05-29 07:36:19",30.97,18,ulankaggle
120,15516160,Boiled-Sweet-Potato,"2026-05-24 12:53:07",30.97,12,boiledsweetpotato
121,15720997,Pudding,"2026-05-11 17:07:23",30.97,12,christie
122,15909608,Matianyuu,"2026-05-14 11:40:51",30.97,2,matianyuu
123,15819889,"Arc Waiters","2026-05-12 21:02:08",30.97,7,"karliek,kwongtommy"
124,15774555,"Matthew Sanders","2026-05-30 00:52:53",30.97,10,matthewtsanders
125,15526407,BhargavaAbhi,"2026-05-31 08:51:25",30.97,7,bhargavaabhi
126,15943934,"Di zitai","2026-05-31 00:01:46",30.97,8,dizitai
127,15627252,Mandel,"2026-05-30 03:02:55",30.97,2,mandelxu
128,16100206,Jadiel,"2026-05-28 12:37:24",30.97,1,jadielam
129,16029705,AAElter,"2026-05-31 09:36:33",30.97,5,aaelter
130,16128619,"Le Truong Thinh","2026-05-31 05:55:48",30.97,1,letruongthinh
131,15488658,Lonnie,"2026-05-31 06:10:39",30.69,38,lonnieqin
132,15487246,Giba,"2026-05-31 22:55:47",30.69,26,titericz
133,15569558,Kaiser,"2026-04-15 02:43:04",30.56,6,kaiserm
