Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,15486939,nvbanana,"2026-06-02 09:02:39",49.17,43,"cpmpml,darraghdog"
2,15618366,"Hiểu Vy","2026-06-02 16:15:04",34.44,30,thangnm1
3,15531975,"Sanjay Dutt","2026-04-17 04:08:32",33.47,17,sanjaygoyal1982
4,15494357,"Van-Phuc Huynh","2026-06-02 04:43:06",33.47,62,hvanphucs112
5,15644304,"Joel Vetterlin","2026-05-30 02:23:30",33.19,18,joelvetterlin2
6,15658284,"Nazura Wirayuda Tama","2026-06-02 16:52:16",33.19,33,nazurawirayudatama
7,15500458,Renoir,"2026-06-02 04:33:44",33.06,61,itahiro
8,15526034,keithtyser,"2026-05-17 21:38:15",33.06,22,keithtyser
9,15522728,"Junhua Yang","2026-06-02 01:03:56",33.06,64,junhuay
10,15516636,john,"2026-06-02 14:16:46",32.78,7,jaejohn
11,15497207,"Tony Li","2026-05-30 14:13:12",32.64,11,tonylica
12,15494362,SVG,"2026-04-16 06:23:57",32.64,19,sandeepgoyal1980
13,15520034,"Kamado Tanjiro","2026-04-17 05:42:55",32.64,19,parthg0106
14,15492775,"Mathurin Ache","2026-06-02 08:40:55",32.64,49,mathurinache
15,15520038,"[a-z A-Z] [1-9]","2026-04-16 06:23:30",32.64,18,sumanb1985
16,15531109,zigo,"2026-06-01 23:40:54",32.64,19,zigohr
17,15652647,"PEI HAOYU 0805","2026-04-22 03:04:35",32.64,3,peihaoyu0805
18,15510100,Tshithihi,"2026-05-04 17:45:26",32.64,8,nawfeelrahman1124444
19,15487968,"Jack Cole","2026-06-03 00:29:58",32.36,71,jcole75
20,15543568,"Chew Kok Wah","2026-06-01 18:26:17",32.36,48,chewkokwahibrainai
21,15517102,IC2,"2026-05-14 01:54:49",32.22,28,jonathanchan
22,15500980,today,"2026-06-02 12:37:45",32.22,66,today55
23,15493126,theredbluepill,"2026-05-25 06:27:11",32.22,34,poonszesen
24,15494530,Snow,"2026-05-31 09:29:43",32.22,20,tasniemnasser
25,15660738,"Ahmet Pamuk","2026-05-14 18:53:27",32.22,2,ahmeterdempamuk
26,15786888,"Kun Zhang","2026-06-02 00:54:20",32.22,32,beicicc
27,15595459,Ernie,"2026-05-28 08:07:19",32.22,47,ernie55ernie
28,15617026,"VAP RF5","2026-05-16 12:20:26",31.94,23,vaprf5
29,15557805,NNMax,"2026-04-17 06:40:04",31.81,4,ashok205
30,15552544,"Komil Parmar","2026-04-13 07:55:37",31.81,3,komilparmar
31,15489994,songling,"2026-04-24 03:14:37",31.81,15,"lvbingrong,miguelhu,oralia"
32,15490244,dlwzq,"2026-04-21 15:37:00",31.81,2,wuzhiqiang01
33,15494442,"Ifeoluwa Adewumi","2026-06-02 10:01:27",31.81,2,ifeadewumi
34,15495199,Aiska,"2026-04-24 03:09:15",31.81,9,sapr3s
35,15633925,Disgon,"2026-06-02 05:46:46",31.81,47,vbardiovsky
36,15647123,Penguin,"2026-06-02 06:47:32",31.81,45,penguin069
37,15499141,"kwon yong deuk","2026-06-02 01:08:20",31.81,61,kwonyongdeuk
38,15487592,CCT,"2026-06-02 07:04:59",31.81,51,chuhanwu86
39,15488123,"Breno & Sebastian","2026-05-20 11:16:41",31.81,38,"brenorb,sebastianmateus"
40,15516639,双人成行,"2026-05-27 14:56:18",31.81,26,"alisenkorea,echochen0518"
41,15787984,singasongcw,"2026-05-05 10:56:40",31.81,3,chaewon24
42,15649571,sap123,"2026-05-29 20:57:34",31.81,15,shashwatparikh
43,15626336,Hossein,"2026-05-11 18:05:30",31.81,23,tomi85
44,15629362,"Kumar Abhijeet","2026-05-13 04:07:54",31.81,5,krabhijeet
45,15507420,Gingsong,"2026-05-30 09:32:00",31.81,22,gingsong
46,15488778,"Kenleung Leung","2026-06-02 06:47:53",31.81,47,kenleungleung
47,16060097,StructurallyUnsound,"2026-05-31 05:32:00",31.81,6,structurallyunsound
48,15510859,Mattpelor,"2026-05-16 05:06:41",31.67,29,mattpelor
49,15520042,"Redfield Rentals","2026-04-17 05:43:29",31.53,19,niyatisingla
50,15944042,MLRush,"2026-05-14 02:02:51",31.53,1,mlrush
51,15486893,"THUNDER THUNDER","2026-04-08 10:52:57",31.39,2,thunderthunder
52,15527643,"Roasted Duck","2026-04-14 18:33:21",31.39,5,trongmp04
53,15491104,KaggleARC,"2026-05-16 06:39:40",31.39,7,"aryabhattadey,madarshbb,vaibhav486"
54,15563011,kcy4,"2026-04-12 22:34:11",31.39,3,cy4ego
55,15590761,"Seok, Jeongeum","2026-06-02 11:25:19",31.39,37,seokjeongeum
56,15500647,"Yasser Othman","2026-06-02 08:36:25",31.39,38,yasserothman
57,15520031,"Dhanashree Chavan","2026-04-17 04:09:06",31.39,19,dhanashreechavan2000
58,15578667,hongan,"2026-04-12 16:10:12",31.39,5,honganzhu
59,15736695,"Muhammad Atif","2026-04-26 04:59:13",31.39,10,"atifkhan12,hweowe"
60,15499730,"Nikita Makarov","2026-04-26 18:50:16",31.39,2,nikimakarov
61,15498576,TuMinhDang,"2026-05-11 08:10:51",31.39,4,darkswordmg
62,15495048,"Surya milenial","2026-05-24 01:13:22",31.39,35,suryamilenial
63,15633621,"Guanshuo Xu","2026-04-22 02:41:56",31.39,1,wowfattie
64,15491167,Kh0a,"2026-04-22 04:30:55",31.39,2,llkh0a
65,15486751,"Recovering ARC-aholic","2026-06-01 06:57:52",31.39,50,nihilisticneuralnet
66,15623254,"Mudit Chaturvedi","2026-05-08 16:58:03",31.39,14,muchat007
67,15499408,JRSSKumarD,"2026-04-29 01:10:51",31.39,2,jrsskumard
68,15495280,Yusuraume,"2026-06-02 01:47:07",31.39,54,sugitatomohiko
69,15511497,Dr_F,"2026-05-15 23:24:51",31.39,13,algebraictopology
70,15496197,"Bradley Shervheim","2026-05-29 20:36:37",31.39,50,bradleyshervheim
71,15582920,colt,"2026-05-04 10:56:39",31.39,3,xiaomaguo
72,15584484,"Aman Atar","2026-05-17 17:23:19",31.39,20,amanatar
73,15537955,"HARRABI Raouf","2026-06-01 09:41:29",31.39,40,harrabiraouf
74,15903566,"Nischay Dhankhar","2026-06-01 15:41:35",31.39,3,nischaydnk
75,15571791,"omar zoloev","2026-06-02 15:34:52",31.39,47,tsebaka
76,15914329,"Paulo Pinto","2026-05-20 19:27:19",31.39,6,paulorzp
77,15523080,"Grigoryan Sergey","2026-05-26 08:19:09",31.39,9,hertryggr
78,15487232,w,"2026-05-30 03:07:48",31.39,10,wwwwzz
79,15962641,Arunodhayan,"2026-06-01 19:01:10",31.39,13,arunodhayan
80,16146116,PavelLiashkov,"2026-06-02 02:33:35",31.39,1,bigbag1983
81,15592005,Blu3s,"2026-04-28 22:43:35",31.25,15,atteincueo
82,15520047,"Winner Winner, BBQ Dinner","2026-04-17 05:43:12",31.11,19,manavsingla2005
83,15523524,"Muhammad Junaid","2026-04-15 14:51:38",31.11,3,junaid512
84,15508009,CuteClaw,"2026-05-16 12:09:46",31.11,27,bloodmoonwq
85,15640821,"Ayman Hamed","2026-05-05 09:09:43",31.11,15,ayman3000
86,15724474,LogicLab,"2026-05-29 01:03:23",31.11,12,logiclab
87,15661145,Bitterbot,"2026-06-02 00:30:55",31.11,25,"douglasfinlay,victormgil"
88,15495422,tf,"2026-06-02 12:05:09",31.11,27,tfukuhara
89,15938245,NguyenThanhNhan,"2026-06-02 16:44:45",31.11,9,andy2709
90,15494594,kglctf,"2026-05-23 18:52:38",30.97,34,kglctf
91,15491319,"Jeki Wan Taufik","2026-05-27 06:28:52",30.97,11,jek1wantaufik
92,15500245,"Aleksandr Lutskiy","2026-05-26 06:33:19",30.97,15,aleksandrlutskiy
93,15575329,"Yiheng Wang","2026-04-15 09:47:59",30.97,5,yiheng
94,15491864,"Aleksandr  Larko","2026-04-15 00:00:16",30.97,13,alexxanderlarko
95,15486932,"Mirza Milan Farabi","2026-04-25 18:23:13",30.97,14,mirzamilanfarabi
96,15491001,G-P-U,"2026-05-22 17:00:01",30.97,22,baidalinadilzhan
97,15576578,cm391,"2026-04-12 08:08:15",30.97,4,mccocoful
98,15533507,ARE-ARC,"2026-04-22 16:41:25",30.97,11,rockdevs
99,15524601,"Rushank Choksi","2026-04-14 10:17:04",30.97,4,rushankchoksi
100,15523577,"Koushik Rudra","2026-05-10 13:01:45",30.97,11,koushikrudra
101,15546991,"Maxime Carriere","2026-05-29 05:04:36",30.97,16,maximecarriere
102,15608920,wqlun06,"2026-06-02 03:34:45",30.97,15,wqlun06
103,15550542,"Nabid Nur","2026-04-23 18:59:35",30.97,9,nabidnur
104,15513679,"Pragnyan Ramtha","2026-04-19 07:34:46",30.97,7,pragnyanramtha
105,15520490,"Yaroslav kholmirzayev","2026-06-01 15:48:19",30.97,6,yaroslavkholmirzayev
106,15504737,AidenSong123,"2026-04-15 09:50:19",30.97,5,aidensong123
