Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,15486939,nvbanana,2026-06-05 09:31:43,49.17,45,"cpmpml,darraghdog"
2,15618366,Hiểu Vy,2026-06-09 09:26:05,34.44,37,thangnm1
3,15523577,Koushik Rudra,2026-06-08 16:11:25,33.89,22,"koushikrudra,nabidnur"
4,15531975,Sanjay Dutt,2026-04-17 04:08:32,33.47,17,sanjaygoyal1982
5,15494357,Van-Phuc Huynh,2026-06-09 10:34:06,33.47,69,hvanphucs112
6,15644304,Joel Vetterlin,2026-05-30 02:23:30,33.19,18,joelvetterlin2
7,15658284,Nazura Wirayuda Tama,2026-06-09 15:31:29,33.19,40,nazurawirayudatama
8,15500458,Renoir,2026-06-09 04:01:18,33.06,67,itahiro
9,15526034,keithtyser,2026-05-17 21:38:15,33.06,22,keithtyser
10,15522728,Junhua Yang,2026-06-09 01:51:35,33.06,71,junhuay
11,15650935,MadrARC,2026-06-09 08:26:38,33.06,7,rahulvimalkanth
12,15516636,john,2026-06-08 07:54:56,32.78,10,jaejohn
13,16246272,phuongncn,2026-06-09 02:32:23,32.78,4,phuongncn
14,15497207,Tony Li,2026-05-30 14:13:12,32.64,11,tonylica
15,15494362,SVG,2026-04-16 06:23:57,32.64,19,sandeepgoyal1980
16,15520034,Kamado Tanjiro,2026-04-17 05:42:55,32.64,19,parthg0106
17,15492775,Mathurin Ache,2026-06-06 15:04:55,32.64,53,mathurinache
18,15520038,[a-z A-Z] [1-9],2026-04-16 06:23:30,32.64,18,sumanb1985
19,15531109,zigo,2026-06-08 08:12:58,32.64,20,zigohr
20,15652647,PEI HAOYU 0805,2026-04-22 03:04:35,32.64,3,peihaoyu0805
21,15510100,Tshithihi,2026-06-09 07:50:59,32.64,11,nawfeelrahman1124444
22,16072728,Emre Cirak,2026-06-09 13:13:01,32.64,13,biohack44
23,16117749,Ajay_Rao_43,2026-06-04 02:12:33,32.64,2,ajayrao43
24,15494530,Snow,2026-06-07 07:21:23,32.64,24,tasniemnasser
25,15487968,Jack Cole,2026-06-09 00:09:07,32.36,77,jcole75
26,15543568,Chew Kok Wah,2026-06-08 18:12:56,32.36,54,chewkokwahibrainai
27,15517102,IC2,2026-05-14 01:54:49,32.22,28,jonathanchan
28,15500980,today,2026-06-09 00:44:29,32.22,73,today55
29,15493126,theredbluepill,2026-05-25 06:27:11,32.22,34,poonszesen
30,15660738,Ahmet Pamuk,2026-05-14 18:53:27,32.22,2,ahmeterdempamuk
31,15786888,Kun Zhang,2026-06-09 02:13:29,32.22,39,beicicc
32,15595459,Ernie,2026-06-09 06:01:38,32.22,53,ernie55ernie
33,15504852,FOYSAL,2026-06-08 15:41:48,32.22,25,foysalemonshanto
34,15489269,Kha Vo,2026-06-09 08:33:35,32.22,6,khahuras
35,15487592,CCT,2026-06-09 09:12:21,32.22,56,chuhanwu86
36,15617026,VAP RF5,2026-05-16 12:20:26,31.94,23,vaprf5
37,15557805,NNMax,2026-04-17 06:40:04,31.81,4,ashok205
38,15552544,Komil Parmar,2026-04-13 07:55:37,31.81,3,komilparmar
39,15489994,songling,2026-06-09 02:47:11,31.81,16,"lvbingrong,miguelhu,oralia"
40,15490244,dlwzq,2026-06-04 03:44:42,31.81,3,wuzhiqiang01
41,15494442,Ifeoluwa Adewumi,2026-06-02 10:01:27,31.81,2,ifeadewumi
42,15495199,Aiska,2026-04-24 03:09:15,31.81,9,sapr3s
43,15633925,Disgon,2026-06-08 22:11:48,31.81,52,vbardiovsky
44,15647123,Penguin,2026-06-09 08:07:30,31.81,52,penguin069
45,15499141,kwon yong deuk,2026-06-04 01:17:38,31.81,63,kwonyongdeuk
46,15488123,Breno & Sebastian,2026-05-20 11:16:41,31.81,38,"brenorb,sebastianmateus"
47,15516639,双人成行,2026-05-27 14:56:18,31.81,26,"alisenkorea,echochen0518"
48,15787984,singasongcw,2026-05-05 10:56:40,31.81,3,chaewon24
49,15649571,sap123,2026-06-05 20:33:28,31.81,17,shashwatparikh
50,15626336,Hossein,2026-05-11 18:05:30,31.81,23,tomi85
51,15629362,Kumar Abhijeet,2026-05-13 04:07:54,31.81,5,krabhijeet
52,15507420,Gingsong,2026-05-30 09:32:00,31.81,22,gingsong
53,15488778,Kenleung Leung,2026-06-09 01:31:12,31.81,54,kenleungleung
54,16060097,StructurallyUnsound,2026-05-31 05:32:00,31.81,6,structurallyunsound
55,15500583,Osman Bayram,2026-06-09 07:00:10,31.81,19,osman0
56,15883525,adhithyan u,2026-06-08 04:37:42,31.81,26,adhithyanu03
57,15510859,Mattpelor,2026-05-16 05:06:41,31.67,29,mattpelor
58,15520042,Redfield Rentals,2026-04-17 05:43:29,31.53,19,niyatisingla
59,15944042,MLRush,2026-05-14 02:02:51,31.53,1,mlrush
